Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
DCD	117159	12	12	7	-	606634	4	0
DCDC1	341019	132	123	77	12	608062	44	0
DCDC2	51473	448	283	426	26	605755	105	20
DCDC2B	149069	39	39	24	-	-	29	0
DCDC2C	728597	36	36	3	-	-	11	0
DCHS1	8642	2402	1775	2377	25	603057	1026	56
DCHS2	54798	222	215	184	-	612486	65	0
DCK	1633	32	32	3	-	125450	11	0
DCLK1	9201	67	67	14	3	604742	17	0
DCLK2	166614	64	64	33	2	613166	35	0
DCLK3	85443	44	44	31	-	613167	30	0
DCLRE1A	9937	86	86	57	-	609682	50	0
DCLRE1B	64858	192	168	151	7	609683	91	1
DCLRE1C	64421	1506	1071	1468	183	605988	350	24
DCN	1634	99	81	85	4	125255	42	3
DCP1A	55802	36	36	24	-	607010	28	0
DCP1B	196513	119	119	41	-	609843	51	0
DCP2	167227	56	55	17	2	609844	26	0
DCPS	28960	170	142	101	7	610534	42	3
DCST1	149095	73	68	52	-	619860	50	0
DCST1-AS1	100505666	98	97	-	-	-	80	0
DCST2	127579	90	86	69	-	619861	70	0
DCSTAMP	81501	69	69	25	-	605933	27	0
DCT	1638	148	143	59	8	191275	53	0
DCTD	1635	120	120	12	1	607638	22	0
DCTN1	1639	1973	1296	1952	11	601143	646	64
DCTN1-AS1	100189589	3	3	-	-	-	-	-
DCTN2	10540	28	26	14	-	607376	12	1
DCTN3	11258	94	87	12	-	607387	21	0
DCTN4	51164	37	36	25	-	614758	21	0
DCTN5	84516	42	42	8	-	612962	12	0
DCTN6	10671	80	80	8	1	612963	10	0
DCTN6-DT	118597835	39	39	-	-	-	-	-
DCTPP1	79077	35	35	15	-	615840	19	0
DCUN1D1	54165	39	39	5	-	605905	6	0
DCUN1D2	55208	143	143	20	-	-	31	0
DCUN1D3	123879	27	27	8	-	616167	14	0
DCUN1D4	23142	31	31	14	3	612977	16	0
DCUN1D5	84259	29	28	2	-	616522	9	0
DCX	1641	567	439	394	162	300121	69	8
DCXR	51181	52	52	26	-	608347	24	0
DCXR-DT	113523640	9	9	-	-	-	2	0
DDA1	79016	20	20	2	-	-	11	0
DDAH1	23576	31	31	11	1	604743	16	0
DDAH2	23564	14	14	6	-	604744	7	0
DDB1	1642	77	73	63	5	600045	50	0
DDB2	1643	190	147	169	12	600811	58	9
DDC	1644	736	574	720	68	107930	208	22
DDC-AS1	100129427	132	105	-	11	-	40	0
DDHD1	80821	601	478	586	23	614603	231	10
DDHD1-DT	101927620	7	7	-	-	-	-	-
DDHD2	23259	512	382	431	37	615003	154	14
DDI1	414301	66	66	42	-	620870	40	0
DDI2	84301	73	73	8	-	620871	44	0
DDIAS	220042	55	55	41	-	618045	35	0
DDIT3	1649	28	27	14	-	126337	14	0
DDIT4	54541	31	31	16	-	607729	17	0
DDIT4-AS1	110806271	5	5	-	-	-	-	-
DDIT4L	115265	29	29	12	-	607730	13	0
DDIT4L-AS1	101929353	4	4	-	-	-	-	-
DDN	23109	56	56	45	-	610588	44	0
DDN-AS1	105369758	24	24	-	-	-	23	0
DDO	8528	55	55	29	-	124450	35	0
DDOST	1650	402	285	384	3	602202	122	4
DDR1	780	54	54	43	-	600408	42	0
DDR2	4921	510	371	478	28	191311	156	24
DDRGK1	65992	177	160	130	5	616177	71	0
DDT	1652	112	108	1	-	602750	43	0
DDTL	100037417	114	110	1	-	-	44	0
DDX1	1653	66	66	35	2	601257	35	0
DDX10	1662	84	80	64	-	601235	51	0
DDX11	1663	292	231	260	20	601150	97	1
DDX11-AS1	100506660	8	8	-	-	-	-	-
DDX17	10521	30	27	2	-	608469	2	0
DDX18	8886	54	54	36	-	606355	28	0
DDX19A	55308	58	58	17	-	-	34	0
DDX19A-DT	100506083	28	28	-	-	-	16	0
DDX19B	11269	58	58	17	-	605812	34	0
DDX20	11218	55	55	43	-	606168	38	0
DDX21	9188	50	50	31	-	606357	29	0
DDX23	9416	85	80	71	5	612172	62	2
DDX24	57062	83	83	56	-	606181	59	0
DDX25	29118	130	129	60	2	607663	38	0
DDX27	55661	53	53	38	-	616621	39	0
DDX28	55794	56	56	26	-	607618	34	0
DDX31	64794	89	86	49	-	616533	56	0
DDX39A	10212	33	33	16	1	619906	17	0
DDX39B	7919	24	24	15	-	142560	15	0
DDX39B-AS1	106478957	1	1	-	-	-	-	-
DDX3ILA1	105375368	8	8	-	-	-	1	0
DDX3X	1654	1144	881	975	284	300160	168	20
DDX3Y	8653	75	75	5	4	400010	6	0
DDX4	54514	46	46	32	-	605281	34	0
DDX41	51428	871	595	806	65	608170	246	28
DDX42	11325	53	53	41	-	613369	41	0
DDX43	55510	51	51	37	-	606286	35	0
DDX46	9879	31	30	11	-	617848	15	0
DDX47	51202	84	83	37	-	615428	42	0
DDX49	54555	28	28	18	-	-	18	0
DDX5	1655	25	25	14	-	180630	16	0
DDX50	79009	62	62	43	1	610373	44	0
DDX51	317781	114	113	80	-	-	82	0
DDX52	11056	165	156	28	-	612500	37	0
DDX53	168400	235	217	61	3	301079	44	2
DDX54	79039	122	114	114	3	611665	83	1
DDX55	57696	73	73	46	-	620176	51	0
DDX56	54606	68	68	41	1	608023	40	0
DDX59	83479	163	123	143	7	615464	42	3
DDX59-AS1	101929224	2	2	-	-	-	-	-
DDX6	1656	101	82	57	8	600326	35	1
DDX60	55601	121	121	64	-	613974	58	0
DDX60L	91351	157	157	101	-	616725	97	0
DEAF1	10522	1092	858	1023	85	602635	398	30
DECR1	1666	68	67	28	-	222745	23	0
DECR2	26063	108	105	40	-	615839	59	0
DEDD	9191	30	28	10	-	606841	18	0
DEDD2	162989	35	32	18	2	617078	19	0
DEF6	50619	339	317	330	4	610094	131	2
DEF8	54849	95	94	39	-	-	50	0
DEFA1	1667	108	107	-	-	125220	9	0
DEFA1B	728358	108	107	-	-	-	9	0
DEFA3	1668	116	115	8	-	604522	16	0
DEFA4	1669	122	121	10	-	601157	17	0
DEFA5	1670	117	117	11	1	600472	17	0
DEFA6	1671	120	119	8	-	600471	15	0
DEFB1	1672	126	125	11	3	602056	18	0
DEFB103A	414325	205	191	-	-	-	2	0
DEFB103B	55894	209	195	-	-	606611	2	0
DEFB104A	140596	212	198	7	-	-	8	0
DEFB104B	503618	216	202	4	-	-	4	0
DEFB105A	245908	218	204	3	-	-	4	0
DEFB105B	504180	212	198	2	-	-	4	0
DEFB106A	245909	220	206	5	-	-	5	0
DEFB106B	503841	212	198	2	-	-	4	0
DEFB107A	245910	216	202	1	-	-	2	0
DEFB107B	503614	211	197	1	-	-	3	0
DEFB108B	245911	15	15	6	-	-	9	0
DEFB109B	641517	105	98	-	2	-	-	-
DEFB110	245913	22	22	11	-	-	14	0
DEFB112	245915	17	17	5	1	-	8	0
DEFB113	245927	17	17	6	-	-	9	0
DEFB114	245928	18	18	7	-	615243	10	0
DEFB115	245929	31	31	5	-	-	9	0
DEFB116	245930	36	36	9	-	-	14	0
DEFB118	117285	36	36	7	-	607650	13	0
DEFB119	245932	36	36	8	-	615997	13	0
DEFB121	245934	31	31	3	-	616075	9	0
DEFB123	245936	34	34	6	-	616076	10	0
DEFB124	245937	28	28	-	-	-	6	0
DEFB125	245938	65	65	12	15	-	18	0
DEFB126	81623	68	68	9	-	620131	14	0
DEFB127	140850	66	66	7	-	-	15	0
DEFB128	245939	64	64	5	-	-	11	0
DEFB129	140881	71	71	12	-	-	22	0
DEFB130A	245940	67	66	-	-	-	1	0
DEFB130B	100133267	38	38	-	-	-	-	-
DEFB131A	644414	77	77	10	-	-	15	0
DEFB131B	100129216	2	2	1	-	-	2	0
DEFB132	400830	72	72	11	-	-	22	0
DEFB134	613211	112	112	8	-	-	13	0
DEFB135	613209	125	125	16	5	-	20	0
DEFB136	613210	114	114	5	-	-	10	0
DEFB4A	1673	209	195	4	4	602215	5	0
DEFB4B	100289462	214	200	5	-	-	6	0
DEGS1	8560	144	114	100	17	615843	36	3
DEGS2	123099	51	51	19	-	610862	18	0
DEK	7913	34	34	17	-	125264	20	0
DELE1	9812	63	62	46	-	615741	45	0
DELEC1	50514	36	36	2	-	604767	10	0
DENND10	404636	54	54	20	-	-	25	0
DENND11	57189	80	79	35	-	620122	38	0
DENND1A	57706	87	86	54	2	613633	52	0
DENND1B	163486	45	44	23	1	613292	22	0
DENND1C	79958	59	59	46	-	613634	46	0
DENND2A	27147	108	107	62	-	620120	68	0
DENND2B	6764	107	105	88	1	140750	74	0
DENND2B-AS1	102724784	7	7	-	-	-	1	0
DENND2C	163259	55	55	42	-	-	44	0
DENND2D	79961	46	46	28	-	615111	30	0
DENND3	22898	143	143	86	1	617503	66	0
DENND3-AS1	101927963	22	22	-	-	-	-	-
DENND4A	10260	66	65	54	1	600382	53	0
DENND4B	9909	136	127	113	2	619843	85	0
DENND4C	55667	196	195	101	2	-	110	0
DENND5A	23258	660	585	636	30	617278	231	4
DENND5B	160518	90	90	61	1	617279	57	0
DENND5B-AS1	100874249	11	11	-	-	-	3	0
DENND6A	201627	25	25	15	-	620561	16	0
DENND6A-DT	101929159	4	4	-	-	-	1	0
DENND6B	414918	192	189	45	-	620562	51	0
DENR	8562	33	33	13	-	604550	12	0
DEPDC1	55635	70	70	45	1	612002	45	0
DEPDC1-AS1	101927220	11	11	-	-	-	1	0
DEPDC1B	55789	57	57	37	1	616073	44	0
DEPDC4	120863	30	30	16	1	-	21	0
DEPDC5	9681	3090	2301	3057	380	614191	989	57
DEPDC7	91614	43	43	14	-	612294	24	0
DEPP1	11067	21	21	5	-	611309	2	0
DEPTOR	64798	84	83	28	1	612974	28	1
DERA	51071	69	69	20	2	619668	34	0
DERL1	79139	62	62	14	-	608813	15	0
DERL2	51009	33	33	7	-	610304	14	0
DERL3	91319	148	144	13	1	610305	71	0
DERPC	113455421	22	22	2	-	-	10	0
DES	1674	2395	1094	2359	108	125660	558	75
DES-LCR	106866982	34	20	-	-	-	4	0
DESI1	27351	31	30	4	-	614637	11	0
DESI2	51029	104	102	5	3	614638	13	0
DET1	55070	66	65	34	-	608727	31	0
DEUP1	159989	23	23	2	-	617148	9	0
DEXI	28955	39	38	11	-	617901	19	0
DFFA	1676	66	66	24	-	601882	28	0
DFFB	1677	112	112	15	-	601883	24	0
DGAT1	8694	800	728	733	59	604900	173	9
DGAT2	84649	34	31	26	-	606983	16	0
DGAT2-DT	283214	2	2	-	-	-	-	-
DGAT2L6	347516	169	162	34	-	300926	33	0
DGCR11	25786	194	175	1	-	-	9	0
DGCR2	9993	483	459	63	8	600594	88	0
DGCR5	26220	207	188	1	8	618040	10	0
DGCR6	8214	369	349	26	29	601279	40	0
DGCR6L	85359	401	379	19	3	609459	25	0
DGCR8	54487	461	437	68	-	609030	46	2
DGKA	1606	53	52	43	-	125855	33	0
DGKB	1607	80	80	24	5	604070	42	0
DGKD	8527	148	133	104	2	601826	66	2
DGKE	8526	299	214	289	34	601440	66	4
DGKG	1608	98	98	56	3	601854	55	0
DGKH	160851	107	107	57	-	604071	50	0
DGKI	9162	102	102	53	4	604072	60	0
DGKK	139189	229	221	60	-	300837	47	0
DGKQ	1609	267	267	110	1	601207	107	0
DGKZ	8525	432	400	412	2	601441	202	3
DGLUCY	80017	37	37	6	-	620716	19	0
DGUOK	1716	579	362	562	61	601465	102	31
DGUOK-AS1	100874048	86	50	-	4	-	12	0
DHCR24	1718	385	324	370	11	606418	130	8
DHCR7	1717	2168	932	2154	233	602858	197	107
DHCR7-DT	129810502	4	4	-	-	-	1	0
DHDDS	79947	706	554	697	37	608172	237	16
DHDDS-AS1	101928324	2	2	-	-	-	-	-
DHDH	27294	41	41	31	-	606377	31	0
DHFR	1719	1097	649	329	45	126060	336	4
DHFR2	200895	23	23	-	-	616588	12	0
DHH	50846	134	117	124	15	605423	56	3
DHODH	1723	262	197	224	10	126064	81	10
DHPS	1725	87	67	47	4	600944	33	2
DHRS1	115817	45	44	20	-	610410	22	0
DHRS11	79154	152	143	18	-	616159	24	0
DHRS12	79758	92	92	19	-	616163	34	0
DHRS13	147015	39	39	27	-	616157	30	0
DHRS2	10202	63	61	40	-	615194	34	0
DHRS3	9249	77	77	32	-	612830	34	0
DHRS4	10901	55	54	33	-	611596	29	0
DHRS4-AS1	55449	19	19	-	-	616925	9	0
DHRS4L1	728635	28	26	-	-	615195	4	0
DHRS4L2	317749	55	53	29	2	615196	27	0
DHRS7	51635	41	41	22	-	612833	24	0
DHRS7B	25979	33	33	19	-	616160	27	0
DHRS7C	201140	34	34	21	-	616161	23	0
DHRS9	10170	43	42	24	-	612131	26	0
DHRSX	207063	137	133	-	2	301034	14	0
DHTKD1	55526	1129	869	1093	59	614984	447	15
DHX15	1665	50	50	17	1	603403	16	0
DHX16	8449	106	88	99	7	603405	58	0
DHX29	54505	83	83	67	-	612720	70	0
DHX30	22907	225	189	213	13	616423	113	5
DHX32	55760	448	421	377	1	607960	216	1
DHX33	56919	70	70	45	-	614405	51	0
DHX33-DT	105371506	12	12	-	-	-	2	0
DHX34	9704	203	180	185	4	615475	112	1
DHX35	60625	45	45	37	-	-	37	0
DHX36	170506	53	53	37	-	612767	37	0
DHX37	57647	613	463	592	17	617362	211	10
DHX38	9785	963	840	925	5	605584	420	5
DHX40	79665	40	40	21	-	607570	27	0
DHX57	90957	118	118	92	1	-	85	0
DHX58	79132	70	70	64	-	608588	59	0
DHX8	1659	99	99	34	1	600396	72	0
DHX9	1660	67	66	36	3	603115	35	0
DHX9-AS1	647070	7	7	-	-	-	-	-
DIABLO	56616	185	143	157	-	605219	52	10
DIAPH1	1729	1924	1532	1903	49	602121	767	51
DIAPH1-AS1	100505658	6	6	-	-	-	1	0
DIAPH2	1730	265	256	54	4	300108	68	0
DIAPH2-AS1	10824	87	83	-	-	300347	3	0
DIAPH3	81624	615	493	531	2	614567	204	17
DIAPH3-AS1	100874195	72	64	-	-	-	16	0
DIAPH3-AS2	100874196	31	31	-	-	-	1	0
DICER1	23405	10355	6405	10327	708	606241	3206	240
DICER1-AS1	400242	8	8	-	-	-	-	-
DIDO1	11083	143	140	93	1	604140	78	0
DIMT1	27292	31	31	14	-	612499	20	0
DINOL	108783646	1	1	-	-	-	-	-
DIO1	1733	28	28	14	2	147892	12	0
DIO2	1734	28	28	10	-	601413	9	0
DIO2-AS1	100628307	9	9	-	-	-	1	0
DIO3	1735	51	51	15	-	601038	15	0
DIO3OS	64150	36	36	-	-	608523	2	0
DIP2A	23181	254	243	137	1	607711	117	2
DIP2A-IT1	100862692	54	48	-	-	-	3	0
DIP2B	57609	136	124	125	3	611379	84	2
DIP2C	22982	830	773	761	4	611380	261	3
DIP2C-AS1	414235	19	19	-	-	-	2	0
DIPK1A	388650	392	294	28	73	614542	119	1
DIPK1B	138311	108	100	42	-	614543	47	0
DIPK1C	125704	206	204	41	-	614544	53	0
DIPK2A	205428	20	20	-	-	612200	3	0
DIPK2B	79742	184	177	16	-	300959	16	0
DIRAS1	148252	25	25	4	-	607862	11	0
DIRAS2	54769	34	34	4	-	607863	4	0
DIRAS3	9077	36	36	11	-	605193	14	0
DIRC1	116093	26	26	-	-	606423	2	0
DIRC3	729582	25	25	-	2	608262	2	0
DIRC3-AS1	105373877	7	7	-	-	-	-	-
DIS3	22894	136	131	58	1	607533	56	0
DIS3L	115752	87	85	73	-	614183	75	0
DIS3L-AS1	105370868	1	1	-	-	-	-	-
DIS3L2	129563	2698	2312	2656	126	614184	1254	49
DISC1	27185	181	166	102	3	605210	61	0
DISC1-IT1	104472714	16	16	-	-	-	-	-
DISC1FP1	101929222	6	6	-	-	-	2	0
DISC2	27184	52	50	-	-	606271	11	0
DISP1	84976	438	360	402	2	607502	203	5
DISP2	85455	112	111	102	-	607503	97	0
DISP3	57540	103	100	54	-	611251	23	0
DIXDC1	85458	46	45	20	1	610493	24	0
DKC1	1736	875	672	655	31	300126	124	19
DKFZP434A062	26102	30	30	-	4	-	1	0
DKFZp434L192	222029	5	5	-	-	-	2	0
DKFZp451B082	401282	19	19	-	-	-	3	0
DKK1	22943	41	40	22	-	605189	15	0
DKK2	27123	31	31	16	1	605415	15	0
DKK3	27122	42	41	28	2	605416	22	0
DKK4	27121	72	71	18	-	605417	25	0
DKKL1	27120	33	33	21	-	605418	20	0
DLAT	1737	455	337	431	16	608770	125	10
DLC1	10395	614	530	492	5	604258	236	6
DLD	1738	1063	660	1040	118	238331	135	21
DLEC1	9940	173	171	152	-	604050	125	0
DLEU1	10301	60	60	-	-	605765	3	0
DLEU1-AS1	103689915	31	31	-	-	-	-	-
DLEU2	8847	93	93	-	1	605766	33	0
DLEU2L	79469	11	11	-	-	-	1	0
DLEU7	220107	81	81	20	1	618634	23	0
DLEU7-AS1	100874074	51	51	-	-	-	19	0
DLG1	1739	176	172	69	4	601014	62	0
DLG1-AS1	100507086	51	50	-	-	-	6	0
DLG2	1740	114	113	50	9	603583	67	0
DLG2-AS2	101929043	4	4	-	-	-	1	0
DLG3	1741	371	313	234	26	300189	104	6
DLG3-AS1	100873930	96	83	-	4	-	11	0
DLG4	1742	453	305	318	98	602887	116	5
DLG5	9231	176	171	155	3	604090	117	1
DLG5-AS1	100128292	3	3	-	-	-	1	0
DLGAP1	9229	228	218	72	9	605445	57	0
DLGAP1-AS1	649446	58	53	-	-	-	1	0
DLGAP1-AS2	84777	136	131	-	-	-	7	0
DLGAP1-AS3	201477	84	78	-	-	-	18	0
DLGAP1-AS4	101410534	58	53	-	1	-	1	0
DLGAP1-AS5	284215	58	53	-	-	-	2	0
DLGAP2	9228	278	275	109	4	605438	106	1
DLGAP2-AS1	100507435	65	64	-	-	-	8	0
DLGAP3	58512	26	25	13	-	611413	5	0
DLGAP4	22839	68	68	58	1	616191	47	0
DLGAP4-AS1	101926987	26	25	-	1	-	17	0
DLGAP5	9787	66	66	52	1	617859	46	0
DLK1	8788	106	98	65	2	176290	31	0
DLK2	65989	34	34	23	-	-	21	0
DLL1	28514	730	581	641	44	606582	222	19
DLL3	10683	844	577	823	42	602768	158	27
DLL4	54567	292	253	279	22	605185	101	8
DLST	1743	90	80	69	1	126063	40	3
DLX1	1745	31	31	8	-	600029	11	0
DLX2	1746	41	41	19	-	126255	19	0
DLX2-DT	104326193	6	6	-	-	-	-	-
DLX3	1747	230	177	220	8	600525	75	6
DLX4	1748	53	48	41	2	601911	24	0
DLX5	1749	77	70	59	6	600028	25	1
DLX6	1750	118	102	99	-	600030	45	5
DLX6-AS1	285987	103	87	-	-	-	42	0
DM1-AS	109729182	411	337	-	180	-	70	0
DMAC1	90871	156	155	8	-	617261	14	0
DMAC2	55101	39	36	29	-	617262	22	0
DMAC2L	27109	72	49	10	2	618579	26	0
DMAP1	55929	37	36	22	1	605077	27	0
DMBT1	1755	322	310	269	-	601969	155	0
DMBX1	127343	39	38	29	1	607410	23	1
DMC1	11144	43	40	15	3	602721	14	0
DMD	1756	14980	9366	14544	3050	300377	2313	595
DMGDH	29958	155	138	138	2	605849	58	1
DMKN	93099	25	25	7	-	617211	7	0
DMP1	1758	349	238	322	9	600980	114	12
DMPK	1760	329	295	318	186	605377	55	1
DMRT1	1761	304	293	103	6	602424	69	1
DMRT2	10655	339	322	147	-	604935	112	1
DMRT3	58524	246	243	51	1	614754	58	0
DMRTA1	63951	125	124	38	1	614803	42	0
DMRTA2	63950	51	50	40	-	614804	39	0
DMRTB1	63948	46	46	35	-	614805	34	0
DMRTC1	63947	136	130	5	-	300878	11	0
DMRTC1B	728656	131	125	-	-	-	5	0
DMRTC2	63946	28	25	17	-	614806	17	0
DMTF1	9988	39	39	26	1	608491	26	0
DMTF1-AS1	101927420	4	4	-	-	-	1	0
DMTN	2039	106	105	17	1	125305	24	0
DMWD	1762	70	70	59	-	609857	50	0
DMXL1	1657	300	280	269	-	605671	166	1
DMXL1-DT	105379143	10	10	-	-	-	1	0
DMXL2	23312	1791	1527	1761	44	612186	661	21
DNA2	1763	987	787	962	18	601810	406	10
DNAAF1	123872	1058	669	988	51	613190	290	43
DNAAF10	116143	29	29	17	-	610729	17	0
DNAAF11	23639	443	305	382	34	614930	97	18
DNAAF2	55172	784	506	774	37	612517	234	33
DNAAF3	352909	834	461	806	42	614566	188	22
DNAAF3-AS1	101930593	648	394	-	41	-	154	0
DNAAF4	161582	381	307	350	48	608706	111	3
DNAAF4-CCPG1	100533483	401	324	-	40	-	150	0
DNAAF5	54919	1010	742	959	43	614864	276	19
DNAAF6	139212	243	234	67	11	300933	34	0
DNAAF8	146562	42	40	5	-	-	14	0
DNAAF9	25943	52	51	4	-	614146	22	0
DNAH1	25981	2651	2184	2635	96	603332	980	34
DNAH10	196385	528	491	503	3	605884	293	4
DNAH10OS	642797	83	77	-	2	-	46	0
DNAH11	8701	7744	5707	7705	502	603339	798	621
DNAH12	201625	222	222	210	1	603340	195	0
DNAH14	127602	436	417	385	5	603341	310	2
DNAH17	8632	1114	967	1094	18	610063	417	17
DNAH17-AS1	100996295	217	186	-	8	-	74	0
DNAH2	146754	495	435	459	9	603333	267	1
DNAH3	55567	348	343	327	4	603334	263	3
DNAH5	1767	8609	5833	8498	962	603335	927	478
DNAH6	1768	492	437	473	1	603336	228	0
DNAH7	56171	455	407	420	10	610061	245	3
DNAH8	1769	2395	2052	2386	107	603337	877	19
DNAH8-AS1	100131047	504	422	-	20	-	185	0
DNAH8-DT	121832808	2	2	-	-	-	-	-
DNAH9	1770	2178	1755	2159	115	603330	723	40
DNAI1	27019	1369	961	1293	134	604366	195	42
DNAI2	64446	1250	819	1225	108	605483	178	35
DNAI3	126820	76	76	61	1	617968	45	0
DNAI4	79819	80	80	52	1	619156	53	0
DNAI7	55259	85	84	39	1	616906	41	0
DNAJA1	3301	82	76	8	-	602837	12	0
DNAJA2	10294	32	32	9	-	611322	17	0
DNAJA2-DT	119545626	6	6	-	-	-	-	-
DNAJA3	9093	86	84	45	1	608382	52	0
DNAJA4	55466	55	54	32	-	-	33	0
DNAJA4-DT	105370911	6	6	-	-	-	1	0
DNAJB1	3337	47	47	28	-	604572	29	0
DNAJB11	51726	186	170	144	16	611341	45	1
DNAJB12	54788	31	31	16	-	608376	16	0
DNAJB13	374407	210	182	191	8	610263	51	4
DNAJB14	79982	31	31	14	-	617487	16	0
DNAJB2	3300	421	321	387	20	604139	129	3
DNAJB3	414061	48	47	-	-	-	9	0
DNAJB4	11080	34	34	15	4	611327	18	0
DNAJB5	25822	113	102	31	-	611328	31	2
DNAJB5-DT	101926900	30	29	-	-	-	1	0
DNAJB6	10049	771	530	677	13	611332	213	39
DNAJB7	150353	66	65	34	1	611336	40	0
DNAJB8	165721	41	39	20	1	611337	19	0
DNAJB8-AS1	285224	6	6	-	-	-	1	0
DNAJB9	4189	41	41	16	-	602634	19	0
DNAJC1	64215	49	49	31	-	611207	36	0
DNAJC10	54431	60	60	36	-	607987	37	0
DNAJC11	55735	94	94	35	3	614827	37	0
DNAJC12	56521	162	126	141	21	606060	40	1
DNAJC13	23317	335	276	315	-	614334	105	1
DNAJC14	85406	43	43	35	-	606092	36	0
DNAJC15	29103	76	76	13	-	615339	25	0
DNAJC16	23341	70	69	43	-	619973	41	0
DNAJC17	55192	212	197	198	-	616844	97	2
DNAJC18	202052	46	45	17	-	-	29	0
DNAJC19	131118	199	165	170	19	608977	51	5
DNAJC2	27000	57	57	32	-	605502	38	0
DNAJC21	134218	496	386	468	40	617048	169	13
DNAJC22	79962	32	32	23	-	-	24	0
DNAJC24	120526	61	60	3	4	611072	19	0
DNAJC25	548645	36	36	2	-	-	5	0
DNAJC25-GNG10	552891	37	37	-	-	-	6	0
DNAJC27	51277	45	44	16	-	613527	22	0
DNAJC27-AS1	729723	8	8	-	-	-	-	-
DNAJC28	54943	93	87	22	-	-	27	0
DNAJC3	5611	148	135	62	9	601184	30	2
DNAJC3-DT	100289274	26	26	-	-	-	-	-
DNAJC30	84277	197	181	32	8	618202	17	0
DNAJC4	3338	31	30	19	-	604189	22	0
DNAJC5	80331	680	444	629	5	611203	176	21
DNAJC5B	85479	33	33	7	-	613945	8	0
DNAJC5G	285126	29	28	11	-	613946	12	0
DNAJC6	9829	447	335	418	12	608375	137	3
DNAJC7	7266	35	35	29	-	601964	18	0
DNAJC8	22826	21	21	9	-	-	16	0
DNAJC9	23234	53	53	7	3	611206	29	0
DNAJC9-AS1	414245	121	99	-	1	-	51	0
DNAL1	83544	162	134	149	10	610062	46	4
DNAL4	10126	33	32	8	1	610565	9	0
DNALI1	7802	42	42	29	1	602135	27	0
DNASE1	1773	262	220	50	3	125505	104	1
DNASE1L1	1774	370	313	11	11	300081	48	0
DNASE1L2	1775	55	53	12	2	602622	26	0
DNASE1L3	1776	296	233	283	13	602244	106	2
DNASE2	1777	204	184	176	3	126350	91	2
DNASE2B	58511	31	31	16	-	608057	19	0
DND1	373863	38	37	19	-	609385	24	0
DNER	92737	97	97	52	1	607299	55	0
DNHD1	144132	699	582	677	38	617277	302	11
DNLZ	728489	69	60	-	-	620797	8	0
DNM1	1759	1142	891	1102	59	602377	297	30
DNM1L	10059	957	741	906	56	603850	240	25
DNM2	1785	2012	1214	1987	31	602378	543	62
DNM3	26052	86	83	48	4	611445	48	0
DNM3-IT1	100874284	12	12	-	-	-	-	-
DNM3OS	100628315	30	28	-	-	-	4	0
DNMBP	23268	178	167	160	4	611282	95	0
DNMBP-AS1	100188954	70	66	-	2	-	37	0
DNMT1	1786	2092	1413	2082	18	126375	544	92
DNMT3A	1788	933	688	888	149	602769	228	30
DNMT3B	1789	1067	865	1049	41	602900	294	38
DNMT3L	29947	126	118	22	1	606588	33	0
DNMT3L-AS1	105372833	49	44	-	-	-	3	0
DNPEP	23549	77	76	42	-	611367	45	0
DNPEP-AS1	105373884	10	10	-	-	-	2	0
DNPH1	10591	24	24	13	-	618762	15	0
DNTT	1791	53	53	35	-	187410	26	0
DNTTIP1	116092	19	19	11	-	611388	10	0
DNTTIP2	30836	46	46	37	-	611199	38	0
DOC2A	8448	327	312	30	-	604567	34	0
DOC2B	8447	77	77	24	14	604568	39	0
DOCK1	1793	244	243	104	8	601403	156	1
DOCK10	55619	142	142	115	-	611518	104	0
DOCK11	139818	264	248	95	12	300681	66	1
DOCK2	1794	1195	1056	1130	28	603122	431	13
DOCK3	1795	195	162	181	13	603123	109	3
DOCK4	9732	179	178	117	7	607679	111	0
DOCK4-AS1	100506413	20	20	-	2	-	8	0
DOCK5	80005	221	220	129	-	616904	120	0
DOCK6	57572	1728	1310	1698	72	614194	521	18
DOCK6-AS1	105372273	522	377	-	19	-	140	0
DOCK7	85440	2107	1704	1999	93	615730	729	8
DOCK7-DT	121832810	13	13	-	-	-	1	0
DOCK8	81704	3855	2959	3444	205	611432	1220	78
DOCK8-AS1	157983	421	402	11	27	-	155	0
DOCK9	23348	193	191	101	2	607325	91	1
DOCK9-AS1	100874096	30	30	-	-	-	1	0
DOCK9-DT	100861541	30	30	-	-	-	1	0
DOHH	83475	71	58	46	6	611262	34	0
DOK1	1796	190	168	25	4	602919	95	0
DOK2	9046	125	124	38	-	604997	42	0
DOK3	79930	122	118	53	1	611435	61	0
DOK4	55715	56	55	27	-	608333	34	0
DOK5	55816	33	33	17	1	608334	23	0
DOK6	220164	164	159	15	5	611402	27	0
DOK7	285489	1855	1303	1735	139	610285	372	48
DOLK	22845	872	540	835	11	610746	324	26
DOLPP1	57171	44	44	7	-	614516	11	0
DONSON	29980	358	288	285	37	611428	94	9
DOP1A	23033	196	178	83	7	616823	111	0
DOP1B	9980	264	256	193	1	604803	169	0
DOT1L	84444	139	139	107	1	607375	88	0
DPAGT1	1798	486	342	431	42	191350	136	24
DPCD	25911	62	62	15	-	616467	31	0
DPEP1	1800	93	92	18	-	179780	48	0
